insectID,plant,instar,day,status
12,grape,3rd instar,63,1
13,grape,3rd instar,63,1
14,grape,3rd instar,63,1
15,grape,3rd instar,63,1
16,grape,3rd instar,63,1
17,grape,3rd instar,63,1
18,grape,3rd instar,63,1
19,grape,3rd instar,63,1
20,grape,3rd instar,63,1
21,grape,3rd instar,63,1
22,grape,3rd instar,63,1
23,grape,3rd instar,63,1
24,grape,2nd instar,63,1
25,grape,2nd instar,63,1
26,grape,2nd instar,63,1
27,grape,1st instar,63,1
28,grape,1st instar,63,1
29,grape,1st instar,63,1
30,grape,1st instar,63,1
1,grape,4th instar,70,0
2,grape,4th instar,70,0
3,grape,4th instar,70,1
4,grape,4th instar,70,1
5,grape,4th instar,70,1
6,grape,4th instar,70,1
7,grape,4th instar,70,1
8,grape,3rd instar,70,1
9,grape,3rd instar,70,1
10,grape,3rd instar,70,1
11,grape,3rd instar,70,1
12,grape,3rd instar,70,1
13,grape,3rd instar,70,1
14,grape,3rd instar,70,1
15,grape,3rd instar,70,1
16,grape,3rd instar,70,1
17,grape,3rd instar,70,1
18,grape,3rd instar,70,1
19,grape,3rd instar,70,1
20,grape,3rd instar,70,1
21,grape,3rd instar,70,1
22,grape,3rd instar,70,1
23,grape,3rd instar,70,1
24,grape,2nd instar,70,1
25,grape,2nd instar,70,1
26,grape,2nd instar,70,1
27,grape,1st instar,70,1
28,grape,1st instar,70,1
29,grape,1st instar,70,1
30,grape,1st instar,70,1
1,grape,4th instar,77,1
2,grape,4th instar,77,1
3,grape,4th instar,77,1
4,grape,4th instar,77,1
5,grape,4th instar,77,1
6,grape,4th instar,77,1
7,grape,4th instar,77,1
8,grape,3rd instar,77,1
9,grape,3rd instar,77,1
10,grape,3rd instar,77,1
11,grape,3rd instar,77,1
12,grape,3rd instar,77,1
13,grape,3rd instar,77,1
14,grape,3rd instar,77,1
15,grape,3rd instar,77,1
16,grape,3rd instar,77,1
17,grape,3rd instar,77,1
18,grape,3rd instar,77,1
19,grape,3rd instar,77,1
20,grape,3rd instar,77,1
21,grape,3rd instar,77,1
22,grape,3rd instar,77,1
23,grape,3rd instar,77,1
24,grape,2nd instar,77,1
25,grape,2nd instar,77,1
26,grape,2nd instar,77,1
27,grape,1st instar,77,1
28,grape,1st instar,77,1
29,grape,1st instar,77,1
30,grape,1st instar,77,1
1,TOH,1st instar,0,0
2,TOH,1st instar,0,0
3,TOH,1st instar,0,0
4,TOH,1st instar,0,0
5,TOH,1st instar,0,0
6,TOH,1st instar,0,0
7,TOH,1st instar,0,0
8,TOH,1st instar,0,0
9,TOH,1st instar,0,0
10,TOH,1st instar,0,0
11,TOH,1st instar,0,0
12,TOH,1st instar,0,0
13,TOH,1st instar,0,0
14,TOH,1st instar,0,0
15,TOH,1st instar,0,0
16,TOH,1st instar,0,0
17,TOH,1st instar,0,0
18,TOH,1st instar,0,0
19,TOH,1st instar,0,0
20,TOH,1st instar,0,0
21,TOH,1st instar,0,0
22,TOH,1st instar,0,0
23,TOH,1st instar,0,0
24,TOH,1st instar,0,0
25,TOH,1st instar,0,0
26,TOH,1st instar,0,0
27,TOH,1st instar,0,0
28,TOH,1st instar,0,0
29,TOH,1st instar,0,0
30,TOH,1st instar,0,0
1,TOH,1st instar,7,0
2,TOH,1st instar,7,0
3,TOH,1st instar,7,0
4,TOH,1st instar,7,0
5,TOH,1st instar,7,0
6,TOH,1st instar,7,0
7,TOH,1st instar,7,0
8,TOH,1st instar,7,0
9,TOH,1st instar,7,0
10,TOH,1st instar,7,0
11,TOH,1st instar,7,0
12,TOH,1st instar,7,0
13,TOH,1st instar,7,0
14,TOH,1st instar,7,0
15,TOH,1st instar,7,0
16,TOH,1st instar,7,0
17,TOH,1st instar,7,0
18,TOH,1st instar,7,0
19,TOH,1st instar,7,0
20,TOH,1st instar,7,0
